"Comp-BL1-H :: BL1-H"
69147.3
54609.2
190853
229614
72478.3
114235
141648
236540
111322
173381
80140.2
144996
98367.2
155889
97863.1
187534
86985.3
148984
169152
67694.2
294818
74840.1
102751
180527
86725
148879
98550.3
130773
63075.2
160718
113075
139433
70039.3
85188.3
258892
97781.2
104201
164217
114986
131216
109430
105502
283669
88136.1
116217
244555
67544.1
167372
100771
91476.1
175219
60996.3
300113
74667.2
117145
204526
285110
77759.1
65337.1
95819
93147.2
89216.2
162366
164353
62649.1
146477
73213.2
76437.2
93898.4
280040
74456.1
265446
87096.2
91903.2
128650
91954.2
76026.2
272735
147276
178254
149806
155746
126477
62349.2
142403
219788
333436
146481
91535.2
162238
120208
107308
125352
117394
69689.1
308436
193516
87917.2
84517.2
79869.2
27415.3
81384.1
112194
99976.3
70072.2
70713.2
78276.1
117443
148562
78418.1
97222.7
81630.2
92420.2
63989.1
82823.2
82894.1
61990.2
162265
93802.2
81881.4
197718
151488
95518.4
261233
57135.6
168954
68526.3
193655
119965
256007
95219.4
73712.5
73541.3
214912
88891.1
136945
310954
142612
78540.1
86611.1
94196.3
197092
72466.1
113937
68923.2
111290
193783
87525.2
66190.2
137149
74072.2
85414.3
92496.2
297400
168996
195168
195786
206064
90785.1
153520
65104.2
65572.3
218038
171667
72873.3
108724
110100
175368
109988
58019.1
70825.5
82202.3
113053
82597.5
114381
377471
124962
82063.2
88361.1
231755
172570
106070
164573
63380.3
2861.89
88835.2
85219.3
78777.3
197435
178962
187951
89136.1
96364.2
182247
118695
71312.3
73251.2
68070.2
209362
129997
163680
243625
196075
71824.3
199251
57705.1
92071.1
78677.1
180264
157221
116193
229363
106827
82367.1
117535
169495
94615.1
268692
86325.2
81380.2
185783
83092.2
249334
89085
93508.3
83477.2
274962
96308.2
203271
178059
108485
81337.1
82279.1
149831
250729
85006.1
114621
161548
158869
217998
82107.2
132089
81558.1
85671.1
152881
232280
151224
95277.2
63711.1
75162.2
181753
84191.2
81914.2
91015.3
220117
66450.2
75897.4
242112
208547
78369.1
194121
57535.1
202487
77170.3
165962
364735
126526
126913
147182
74543.3
62046.1
153605
209368
142740
92258.1
196986
198637
131984
112288
190990
85787.1
137699
78134.2
62158.4
212106
135127
283674
75333.2
157857
75939.1
243693
76198.2
135275
91174.1
208582
136725
76664.3
140096
107243
239935
172534
283129
175583
406997
64970.1
92068.1
175519
269667
165718
151728
273852
172028
84009.1
279367
217985
98479.2
108997
67861.2
133425
55041.3
85119.2
89338.1
75897.2
80480.1
81066.2
71330.2
231996
160962
122971
155974
184034
104168
107973
117823
70034.2
66046.2
75002.1
233544
300096
86888.1
78732.2
161251
242615
64410.3
152904
145858
209641
72236.1
160160
142480
2222.24
114505
234502
105103
204372
244811
176007
83407.3
61507.2
77943.2
84913.1
159369
158209
117220
175823
74844.3
85011.2
60741.4
129157
81833.4
207793
200801
103461
102361
121659
172398
169565
234667
96200.4
131591
163752
129327
202753
226317
242182
102646
210780
246527
184948
91926.5
93442.3
120103
56910.3
96920.3
139836
80638.4
75568.2
64484.1
77916.1
117451
188408
75979.5
131587
173866
225246
267928
85867.2
155368
85431.2
191135
223484
70758.2
76320.2
90060.1
207254
215942
135108
77321.1
155000
177420
94544.3
139296
79266.4
94495.2
81347.3
61298.2
216430
173144
119490
196863
120203
172708
317029
85713.1
334992
199719
88317.2
142183
147707
223320
63560.2
62447.2
107002
179022
143820
112884
123480
276181
137741
192579
127346
224466
66027.2
94334.3
97062.2
184282
148863
88320.1
98541.4
87623.2
166854
316516
110317
66650.1
89453.2
209782
72968.2
83327.1
84766.1
62100.2
72341.3
208636
93667.1
174386
94972.2
91912.5
72908.3
223841
227898
69894.2
127865
59524.2
143511
183468
63388.1
83353.1
72440.1
145703
152496
66049.2
69204.1
127509
109693
550449
157275
247517
135641
143720
67038.2
171754
93611.3
120762
142486
132925
152930
98717.1
250917
133911
115323
139747
204266
65681.2
239935
141751
305431
137914
62490.2
175637
181011
70002.2
108126
168637
73739.3
151204
87466.3
103547
135101
167490
89232.3
163127
65127.1
171837
84754.2
72625.2
136284
66701.1
74043.2
193086
70395.1
120813
56755.2
69194
151634
188813
101594
306460
96825.3
213042
63448.1
157387
76050.3
522258
100210
98806.5
95452.2
195782
90769.2
127433
71145.1
107463
135204
72929.3
211549
78749.1
71136.1
203361
97480.1
100475
109217
70075.3
72479.3
83367.3
248385
73084.1
107802
96135.2
253717
209552
72803.1
84750.4
63757.2
98819.1
139187
65611.2
75388.1
173700
90126.3
243381
101562
97652.3
270382
37804.3
84790.2
239295
214440
104989
108105
87321.1
74390.2
71897.6
109615
270818
108341
96970.4
229779
85984.4
144688
125102
198241
143049
77891.1
207515
248642
138737
54866.2
68217.2
179240
76627.3
178480
80743.3
64700.3
157563
133467
104491
246752
68232.2
125002
83000.2
104003
96273.2
